Name,Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
J.Allen,1,9/13/20,1,1,24.115,BUF,,NYJ,W 27-17,*,33,46,71.74,312,2,0,104.6,3,6,6.78,7.65,14,57,4.07,1,0,0,0,,0,0.00%,,1,6,2,2,0,0,0,0,87,100%,0,0%,0,0%
J.Allen,2,9/20/20,2,2,24.122,BUF,@,MIA,W 31-28,*,24,35,68.57,415,4,0,146.7,1,4,11.86,14.14,4,19,4.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%
J.Allen,3,9/27/20,3,3,24.129,BUF,,LAR,W 35-32,*,24,33,72.73,311,4,1,128.9,4,37,9.42,10.48,4,8,2,1,0,0,0,,0,0.00%,,1,6,1,1,0,0,0,0,62,100%,0,0%,0,0%
J.Allen,4,10/4/20,4,4,24.136,BUF,@,LVR,W 30-23,*,24,34,70.59,288,2,0,115.8,1,14,8.47,9.65,3,-1,-0.33,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%
J.Allen,5,10/13/20,5,5,24.145,BUF,@,TEN,L 16-42,*,26,41,63.41,263,2,2,77.6,1,10,6.41,5.2,4,18,4.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,65,90%,0,0%,0,0%
J.Allen,6,10/19/20,6,6,24.151,BUF,,KAN,L 17-26,*,14,27,51.85,122,2,1,73.4,0,0,4.52,4.33,8,42,5.25,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%
J.Allen,7,10/25/20,7,7,24.157,BUF,@,NYJ,W 18-10,*,30,43,69.77,307,0,0,90,2,11,7.14,7.14,11,61,5.55,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,74,100%,0,0%,0,0%
J.Allen,8,11/1/20,8,8,24.164,BUF,,NWE,W 24-21,*,11,18,61.11,154,0,1,65.5,1,5,8.56,6.06,10,23,2.3,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%
J.Allen,9,11/8/20,9,9,24.171,BUF,,SEA,W 44-34,*,31,38,81.58,415,3,0,138.5,7,29,10.92,12.5,7,14,2,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%
J.Allen,10,11/15/20,10,10,24.178,BUF,@,ARI,L 30-32,*,32,49,65.31,284,2,2,77.3,0,0,5.8,4.78,7,38,5.43,0,1,1,12,12,1,100.00%,12,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%
J.Allen,11,11/29/20,11,12,24.192,BUF,,LAC,W 27-17,*,18,24,75,157,1,1,88.4,2,10,6.54,5.5,9,32,3.56,1,0,0,0,,0,0.00%,,1,6,1,1,0,0,-2,0,61,98%,0,0%,0,0%
J.Allen,12,12/7/20,12,13,24.2,BUF,@,SFO,W 34-24,*,32,40,80,375,4,0,139.1,1,7,9.38,11.38,6,11,1.83,0,0,0,0,,0,0.00%,,0,0,2,1,0,0,0,0,73,100%,0,0%,0,0%
J.Allen,13,12/13/20,13,14,24.206,BUF,,PIT,W 26-15,*,24,43,55.81,238,2,1,77.5,1,8,5.53,5.42,6,28,4.67,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,75,100%,0,0%,0,0%
J.Allen,14,12/19/20,14,15,24.212,BUF,@,DEN,W 48-19,*,28,40,70,359,2,0,114.5,1,7,8.98,9.98,3,33,11,2,0,0,0,,0,0.00%,,2,12,1,0,0,1,0,0,72,99%,0,0%,0,0%
J.Allen,15,12/28/20,15,16,24.221,BUF,@,NWE,W 38-9,*,27,36,75,320,4,0,138.7,0,0,8.89,11.11,4,35,8.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,57,79%,0,0%,0,0%
J.Allen,16,1/3/21,16,17,24.227,BUF,,MIA,W 56-26,*,18,25,72,224,3,1,122.3,1,11,8.96,9.56,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,35,55%,0,0%,0,0%
